,year,carrier,air_taxi,general,military,total_itinerant,total_ops
SAN,2015,"164,168","19,152","9,636",756,"193,712","193,712"
SAN,2016,"173,687","12,694","9,660",894,"196,935","196,935"
SAN,2017,"188,581","10,662","9,613",707,"209,563","209,563"
SAN,2018,"201,466","12,497","10,337",758,"225,058","225,058"
SAN,2019,"48,343","3,346","2,410",217,"54,316","54,316"
SEA,1989,"45,060","36,122","2,223",76,"83,481","83,592"
SEA,1990,"193,482","150,376","10,556",303,"354,717","355,005"
SEA,1991,"186,717","142,828","8,593",289,"338,427","338,607"
SEA,1992,"196,141","140,744","8,699",310,"345,894","345,995"
SEA,1993,"200,040","131,046","7,929",276,"339,291","339,461"
SEA,1994,"212,016","132,158","8,358",371,"352,903","353,050"
SEA,1995,"226,190","149,442","10,244",567,"386,443","386,534"
SEA,1996,"239,063","149,882","6,077",87,"395,109","395,216"
SEA,1997,"235,445","143,034","5,820",80,"384,379","384,482"
SEA,1998,"221,705","180,563","5,183",126,"407,577","407,597"
SEA,1999,"233,914","194,352","5,321",59,"433,646","433,660"
SEA,2000,"236,355","203,723","5,448",95,"445,621","445,677"
SEA,2001,"227,589","168,322","4,668",66,"400,645","400,670"
SEA,2002,"220,733","139,793","4,073",59,"364,658","364,671"
SEA,2003,"210,603","140,777","3,336",54,"354,770","354,819"
SEA,2004,"250,605","105,377","2,685",121,"358,788","358,894"
SEA,2005,"254,829","83,928","2,654",59,"341,470","341,762"
SEA,2006,"253,507","82,147","3,675",95,"339,424","340,058"
SEA,2007,"276,954","64,745","3,587",80,"345,366","347,046"
SEA,2008,"306,425","34,453","2,111",60,"343,049","345,057"
SEA,2009,"297,621","17,133","3,046",73,"317,873","317,873"
SEA,2010,"292,016","18,562","3,262",114,"313,954","313,954"
SEA,2011,"295,763","15,324","3,708",149,"314,944","314,944"
SEA,2012,"291,664","14,196","3,604",133,"309,597","309,597"
SEA,2013,"299,156","14,440","3,510",80,"317,186","317,186"
SEA,2014,"325,425","10,813","4,113",127,"340,478","340,478"
SEA,2015,"368,722","8,401","4,160",125,"381,408","381,408"
SEA,2016,"399,742","9,513","2,802",93,"412,150","412,170"
SEA,2017,"405,049","8,651","2,338",86,"416,124","416,136"
SEA,2018,"427,170","8,509","2,625",87,"438,391","438,391"
SEA,2019,"99,229","1,038",457,16,"100,740","100,740"
SFO,1989,"75,676","19,675","9,290",690,"105,331","108,765"
SFO,1990,"317,958","78,866","30,167","2,462","429,453","440,090"
SFO,1991,"302,381","88,682","25,195","2,380","418,638","429,213"
SFO,1992,"296,169","93,335","21,725","2,436","413,665","423,437"
SFO,1993,"287,662","103,654","23,004","2,368","416,688","425,869"
SFO,1994,"288,555","106,191","24,925","2,619","422,290","433,072"
SFO,1995,"304,021","92,111","25,480","2,297","423,909","435,948"
SFO,1996,"325,181","73,664","26,588","2,604","428,037","441,834"
SFO,1997,"332,950","74,434","26,977","2,694","437,055","449,821"
SFO,1998,"332,203","71,752","25,408","2,683","432,046","432,046"
SFO,1999,"333,826","75,665","26,684","2,510","438,685","440,032"
SFO,2000,"327,715","73,534","25,797","2,176","429,222","430,554"
SFO,2001,"301,558","65,913","17,663","2,460","387,594","387,599"
SFO,2002,"259,394","72,486","16,790","2,783","351,453","351,453"
SFO,2003,"232,577","82,608","16,585","2,745","334,515","334,515"
SFO,2004,"244,009","88,809","18,462","2,746","354,026","354,073"
SFO,2005,"241,492","90,023","19,633","2,448","353,596","353,774"
SFO,2006,"248,297","89,850","18,454","2,601","359,202","359,415"
SFO,2007,"262,135","95,582","14,521","1,928","374,166","379,568"
SFO,2008,"284,350","85,470","7,225","1,400","378,445","388,104"
SFO,2009,"279,864","84,378","13,030","3,039","380,311","380,311"
SFO,2010,"287,959","83,931","13,586","3,282","388,758","388,758"
SFO,2011,"296,442","90,499","13,446","3,288","403,675","403,675"
SFO,2012,"317,630","89,020","13,281","3,391","423,322","423,322"
SFO,2013,"319,446","85,885","12,726","2,858","420,915","420,915"
SFO,2014,"335,428","80,914","12,651","2,973","431,966","431,966"
SFO,2015,"354,576","59,724","13,742","2,476","430,518","430,518"
SFO,2016,"379,647","55,482","12,691","2,571","450,391","450,391"
SFO,2017,"397,492","48,350","11,856","2,648","460,346","460,346"
SFO,2018,"407,152","48,646","11,741","2,627","470,166","470,166"
SFO,2019,"90,685","12,238","2,697",645,"106,265","106,265"
SLC,1989,"36,809","14,009","19,623","1,133","71,574","72,838"
SLC,1990,"150,758","60,367","84,272","4,470","299,867","303,345"
SLC,1991,"155,485","62,167","77,705","4,293","299,650","301,664"
SLC,1992,"162,095","68,410","83,828","5,102","319,435","320,418"
SLC,1993,"173,942","69,481","81,466","4,537","329,426","330,067"
SLC,1994,"179,277","75,160","82,963","4,253","341,653","342,621"
SLC,1995,"186,315","83,554","84,556","4,554","358,979","359,440"
SLC,1996,"197,583","93,310","78,599","4,344","373,836","374,209"
SLC,1997,"192,968","99,460","74,833","4,380","371,641","371,843"
SLC,1998,"185,504","99,550","75,120","4,198","364,372","365,333"
SLC,1999,"182,060","104,088","77,907","4,202","368,257","369,431"
SLC,2000,"173,671","108,581","74,812","3,915","360,979","366,933"
SLC,2001,"158,872","127,627","71,781","2,979","361,259","370,282"
SLC,2002,"151,888","162,370","65,885","13,281","393,424","406,994"
SLC,2003,"144,312","169,083","68,759","6,158","388,312","400,452"
SLC,2004,"129,223","203,103","72,617","2,959","407,902","413,246"
SLC,2005,"168,433","210,858","68,185","2,739","450,215","455,214"
SLC,2006,"165,035","186,202","64,136","1,919","417,292","419,488"
SLC,2007,"166,816","186,311","51,107","1,568","405,802","420,996"
SLC,2008,"169,154","159,051","29,018","1,002","358,225","389,915"
SLC,2009,"175,142","136,849","58,167","2,078","372,236","372,680"
SLC,2010,"180,928","122,506","57,887","2,023","363,344","365,579"
SLC,2011,"176,447","108,090","57,726","4,791","347,054","358,964"
SLC,2012,"175,228","91,571","56,395","2,193","325,387","328,966"
SLC,2013,"176,036","89,359","60,110","2,011","327,516","330,396"
SLC,2014,"180,475","85,199","54,050","2,225","321,949","325,479"
SLC,2015,"185,016","75,401","42,565","5,969","308,951","311,767"
SLC,2016,"198,575","72,937","39,335","7,204","318,051","320,259"
SLC,2017,"210,768","67,436","39,070","7,227","324,501","327,292"
SLC,2018,"224,505","59,480","42,000","6,419","332,404","337,404"
SLC,2019,"56,448","15,257","10,934","1,346","83,985","84,707"
TPA,1989,"31,564","10,631","10,127",381,"52,703","52,706"
TPA,1990,"134,896","51,863","49,830","1,948","238,537","238,646"
TPA,1991,"120,159","52,092","49,351","2,433","224,035","224,085"
TPA,1992,"119,569","61,561","48,261","2,359","231,750","231,808"
TPA,1993,"124,419","73,755","48,349","1,804","248,327","248,343"
TPA,1994,"139,482","79,987","44,687","1,531","265,687","265,687"
TPA,1995,"111,694","106,514","42,263","2,109","262,580","262,580"
TPA,1996,"115,634","104,349","44,545","3,485","268,013","268,013"
TPA,1997,"120,803","88,674","34,200","3,225","246,902","247,190"
TPA,1998,"124,638","90,789","37,272","1,843","254,542","254,942"
TPA,1999,"137,145","85,168","48,696",744,"271,753","271,996"
TPA,2000,"148,864","81,988","46,134",814,"277,800","278,632"
TPA,2001,"151,124","66,545","42,469",653,"260,791","260,859"
TPA,2002,"147,306","54,986","40,302",916,"243,510","243,625"
TPA,2003,"142,442","51,572","38,912",476,"233,402","233,892"
TPA,2004,"148,102","55,486","40,560",601,"244,749","245,275"
TPA,2005,"158,712","68,035","41,907",493,"269,147","269,666"
TPA,2006,"161,690","55,082","39,575",590,"256,937","257,193"
TPA,2007,"169,973","50,175","28,249",508,"248,905","258,745"
TPA,2008,"165,448","39,595","14,035",249,"219,327","238,258"
TPA,2009,"148,695","22,994","27,675",647,"200,011","200,621"
TPA,2010,"145,617","23,000","25,580",667,"194,864","195,705"
TPA,2011,"146,440","19,967","24,201",571,"191,179","191,315"
TPA,2012,"144,336","20,473","22,403",709,"187,921","188,295"
TPA,2013,"142,462","22,369","21,314",348,"186,493","186,557"
TPA,2014,"142,954","19,449","21,083",530,"184,016","184,038"
TPA,2015,"148,671","18,943","21,754",433,"189,801","189,887"
TPA,2016,"147,921","18,367","22,477",795,"189,560","189,682"
TPA,2017,"153,035","18,920","22,896",562,"195,413","195,489"
TPA,2018,"165,718","17,987","22,727",506,"206,938","206,958"
TPA,2019,"45,764","4,718","6,232",142,"56,856","56,876"
Total:,,"258,057,189","103,994,998","36,518,966","2,101,324","400,672,477","411,938,176"
,,,,,,,
Report created on Thu May 2 19:23:35 EDT 2019,,,,,,,
Sources: Air Traffic Activity System (ATADS),,,,,,,
Show data notices.,,,,,,,
