"","airport","year","ops","Actual_Arrivals","On_Time_Arrivals","Departure_Cancellations","Arrival_Cancellations","Departure_Diversions","Actual_Diversions","Delayed_Arrivals","Prop_On_Time"
"841","SFO",1991,429213,NA,NA,NA,NA,NA,NA,NA,NA
"842","SFO",1992,423437,NA,NA,NA,NA,NA,NA,NA,NA
"843","SFO",1993,425869,NA,NA,NA,NA,NA,NA,NA,NA
"844","SFO",1994,433072,NA,NA,NA,NA,NA,NA,NA,NA
"845","SFO",1995,435948,NA,NA,NA,NA,NA,NA,NA,NA
"846","SFO",1996,441834,NA,NA,NA,NA,NA,NA,NA,NA
"847","SFO",1997,449821,NA,NA,NA,NA,NA,NA,NA,NA
"848","SFO",1998,432046,NA,NA,NA,NA,NA,NA,NA,NA
"849","SFO",1999,440032,NA,NA,NA,NA,NA,NA,NA,NA
"850","SFO",2000,430554,NA,NA,NA,NA,NA,NA,NA,NA
"851","SFO",2001,387599,NA,NA,NA,NA,NA,NA,NA,NA
"852","SFO",2002,351453,NA,NA,NA,NA,NA,NA,NA,NA
"853","SFO",2003,334515,NA,NA,NA,NA,NA,NA,NA,NA
"854","SFO",2004,354073,127984,100112,1768,1987,250,139,27872,0.782222777847231
"855","SFO",2005,353774,126985,96900,1644,1865,274,138,30085,0.763082253809505
"856","SFO",2006,359415,129146,92832,2361,2530,238,129,36314,0.718814365137132
"857","SFO",2007,379568,135507,96550,2550,2753,332,162,38957,0.71250931686186
"858","SFO",2008,388104,137352,97090,2790,2984,342,243,40262,0.706869940008154
"859","SFO",2009,380311,134924,100717,1631,1860,302,194,34207,0.746472087990276
"860","SFO",2010,388758,136738,99850,2702,2934,365,352,36888,0.730228612382805
"861","SFO",2011,403675,142382,104011,2859,3019,324,321,38371,0.73050666516835
"862","SFO",2012,423322,166769,119855,4014,4232,383,338,46914,0.718688725122775
"863","SFO",2013,420915,164090,122127,3318,3503,431,476,41963,0.744268389298556
"864","SFO",2014,431966,162015,115452,4257,4493,441,375,46563,0.712600685121748
"865","SFO",2015,430518,159492,124412,2204,2379,389,265,35080,0.780051664033306
"866","SFO",2016,450391,169469,126798,2457,2597,404,332,42671,0.74820763679493
"867","SFO",2017,460346,170824,121410,3299,3276,389,574,49414,0.710731513136327
"868","SFO",2018,470166,178713,133897,2547,2635,484,430,44816,0.749229211081455
"869","SLC",1991,301664,NA,NA,NA,NA,NA,NA,NA,NA
"870","SLC",1992,320418,NA,NA,NA,NA,NA,NA,NA,NA
"871","SLC",1993,330067,NA,NA,NA,NA,NA,NA,NA,NA
"872","SLC",1994,342621,NA,NA,NA,NA,NA,NA,NA,NA
"873","SLC",1995,359440,NA,NA,NA,NA,NA,NA,NA,NA
"874","SLC",1996,374209,NA,NA,NA,NA,NA,NA,NA,NA
"875","SLC",1997,371843,NA,NA,NA,NA,NA,NA,NA,NA
"876","SLC",1998,365333,NA,NA,NA,NA,NA,NA,NA,NA
"877","SLC",1999,369431,NA,NA,NA,NA,NA,NA,NA,NA
"878","SLC",2000,366933,NA,NA,NA,NA,NA,NA,NA,NA
"879","SLC",2001,370282,NA,NA,NA,NA,NA,NA,NA,NA
"880","SLC",2002,406994,NA,NA,NA,NA,NA,NA,NA,NA
"881","SLC",2003,400452,NA,NA,NA,NA,NA,NA,NA,NA
"882","SLC",2004,413246,136846,114203,1547,1931,273,93,22643,0.834536632418924
"883","SLC",2005,455214,158485,134217,1685,2222,337,115,24268,0.846875098589772
"884","SLC",2006,419488,140844,117820,1027,1325,285,93,23024,0.836528357615518
"885","SLC",2007,420996,146225,118267,1123,1482,353,82,27958,0.808801504530689
"886","SLC",2008,389915,137570,116234,1089,1335,414,172,21336,0.844908046812532
"887","SLC",2009,372680,130643,112188,734,1000,447,190,18455,0.858737169232182
"888","SLC",2010,365579,123037,103105,1006,1431,483,241,19932,0.837999951234182
"889","SLC",2011,358964,118151,103162,801,1145,387,163,14989,0.873136918011697
"890","SLC",2012,328966,109487,97671,473,754,312,62,11816,0.892078511604117
"891","SLC",2013,330396,111157,95743,869,1139,301,291,15414,0.861331270185413
"892","SLC",2014,325479,107682,92920,573,801,278,103,14762,0.862911164354302
"893","SLC",2015,311767,105294,92088,405,528,325,135,13206,0.874579748133797
"894","SLC",2016,320259,108234,94825,396,473,362,147,13409,0.876111018718702
"895","SLC",2017,327292,111285,96191,448,533,364,143,15094,0.86436626679247
"896","SLC",2018,337404,118434,101920,355,402,437,156,16514,0.860563689481061
"897","TPA",1991,224085,NA,NA,NA,NA,NA,NA,NA,NA
"898","TPA",1992,231808,NA,NA,NA,NA,NA,NA,NA,NA
"899","TPA",1993,248343,NA,NA,NA,NA,NA,NA,NA,NA
"900","TPA",1994,265687,NA,NA,NA,NA,NA,NA,NA,NA
"901","TPA",1995,262580,NA,NA,NA,NA,NA,NA,NA,NA
"902","TPA",1996,268013,NA,NA,NA,NA,NA,NA,NA,NA
"903","TPA",1997,247190,NA,NA,NA,NA,NA,NA,NA,NA
"904","TPA",1998,254942,NA,NA,NA,NA,NA,NA,NA,NA
"905","TPA",1999,271996,NA,NA,NA,NA,NA,NA,NA,NA
"906","TPA",2000,278632,NA,NA,NA,NA,NA,NA,NA,NA
"907","TPA",2001,260859,NA,NA,NA,NA,NA,NA,NA,NA
"908","TPA",2002,243625,NA,NA,NA,NA,NA,NA,NA,NA
"909","TPA",2003,233892,NA,NA,NA,NA,NA,NA,NA,NA
"910","TPA",2004,245275,70656,56930,1167,1016,154,139,13726,0.805734827898551
"911","TPA",2005,269666,78669,61251,771,746,212,103,17418,0.778591312969531
"912","TPA",2006,257193,75408,59759,427,356,197,189,15649,0.792475599405899
"913","TPA",2007,258745,79023,61020,705,655,186,121,18003,0.772180251319236
"914","TPA",2008,238258,77335,60979,727,654,194,182,16356,0.78850455809142
"915","TPA",2009,200621,69044,56465,349,307,201,102,12579,0.817811830137304
"916","TPA",2010,195705,67968,55672,709,655,157,140,12296,0.819091337099812
"917","TPA",2011,191315,68292,56362,667,622,176,137,11930,0.825308967375388
"918","TPA",2012,188295,66887,55846,450,411,131,132,11041,0.83493055451732
"919","TPA",2013,186557,65676,52049,326,301,152,118,13627,0.792511724221938
"920","TPA",2014,184038,64025,49815,723,691,183,163,14210,0.77805544709098
"921","TPA",2015,189887,68289,55438,635,597,212,176,12851,0.811814494281656
"922","TPA",2016,189682,67245,55002,625,565,174,139,12243,0.817934418915905
"923","TPA",2017,195489,68747,55845,1333,1313,150,103,12902,0.812326356059173
"924","TPA",2018,206958,73812,58736,817,754,191,160,15076,0.795751368341191
"925","HNL",2004,NA,35761,31698,96,89,33,41,4063,0.886384608931518
"926","MEM",2004,NA,47934,39257,749,700,87,101,8677,0.818980264530396
"927","STL",2004,NA,60339,49365,832,805,119,135,10974,0.818127579177646
"928","HNL",2005,NA,37779,33049,92,81,26,49,4730,0.874798168294555
"929","MEM",2005,NA,47881,39430,868,859,109,72,8451,0.823499926902111
"930","STL",2005,NA,65149,53194,790,756,136,116,11955,0.816497567115382
"931","HNL",2006,NA,60490,54418,608,568,20,53,6072,0.899619771863118
"932","MEM",2006,NA,46449,36567,878,863,95,55,9882,0.787250532842472
"933","STL",2006,NA,63328,50585,994,940,158,119,12743,0.798777791814048
"934","HNL",2007,NA,67153,60632,407,416,23,43,6521,0.902893392700252
"935","MEM",2007,NA,83047,65263,1583,1799,212,191,17784,0.785856201909762
"936","STL",2007,NA,63471,48587,1292,1256,138,144,14884,0.765499204361047
"937","HNL",2008,NA,55738,48389,463,484,47,50,7349,0.868150992141806
"938","MEM",2008,NA,78958,63885,1516,1732,226,271,15073,0.809101041059804
"939","STL",2008,NA,61330,48485,1316,1244,162,165,12845,0.790559269525518
"940","HNL",2009,NA,56356,48101,250,260,58,83,8255,0.853520476967847
"941","MEM",2009,NA,70796,59114,918,1094,233,154,11682,0.834990677439403
"942","STL",2009,NA,58133,48187,695,642,113,83,9946,0.828909569435605
"943","HNL",2010,NA,53134,45962,225,214,70,70,7172,0.865020514171717
"944","MEM",2010,NA,76317,63979,1670,1789,197,156,12338,0.838332219557897
"945","STL",2010,NA,56153,45196,715,700,129,85,10957,0.804872402186882
"946","HNL",2011,NA,51113,45347,369,361,56,54,5766,0.88719112554536
"947","MEM",2011,NA,46997,39544,1087,1085,111,102,7453,0.841415409494223
"948","STL",2011,NA,56421,45913,1238,1135,140,150,10508,0.813757288952695
"949","HNL",2012,NA,54377,47967,258,269,55,62,6410,0.88211927837137
"950","MEM",2012,NA,34947,30494,428,379,76,42,4453,0.872578475977909
"951","STL",2012,NA,55691,46570,502,477,107,100,9121,0.836221292488912
"952","HNL",2013,NA,52430,44895,448,457,57,52,7535,0.856284569902727
"953","MEM",2013,NA,32396,26810,661,628,74,49,5586,0.827571305099395
"954","STL",2013,NA,56201,44647,765,708,116,114,11554,0.794416469457839
"955","HNL",2014,NA,46066,39827,179,166,64,78,6239,0.864563886597491
"956","MEM",2014,NA,14622,11045,445,378,53,38,3577,0.755368622623444
"957","STL",2014,NA,51394,39314,1014,920,135,105,12080,0.764953107366619
"958","HNL",2015,NA,46691,39161,188,177,57,69,7530,0.838726949519179
"959","MEM",2015,NA,15969,12910,353,287,46,31,3059,0.808441355125556
"960","STL",2015,NA,50567,41588,661,605,140,100,8979,0.822433602942631
"961","HNL",2016,NA,47111,40950,113,112,54,72,6161,0.869223748169217
"962","MEM",2016,NA,13932,11667,184,166,33,27,2265,0.837424633936262
"963","STL",2016,NA,54975,45599,552,499,134,85,9376,0.829449749886312
"964","HNL",2017,NA,48097,41631,144,165,53,53,6466,0.865563340748903
"965","MEM",2017,NA,14382,11784,220,217,26,26,2598,0.819357530246141
"966","STL",2017,NA,56340,46346,628,596,115,46,9994,0.822612708555201
"967","HNL",2018,NA,52924,46566,427,478,126,64,6358,0.879865467462777
"968","MEM",2018,NA,24846,19650,443,404,85,36,5196,0.79087177010384
"969","STL",2018,NA,73246,59528,1113,1078,201,101,13718,0.8127133222292
"970","ATL",2019,NA,58811,49899,505,555,134,89,8912,0.848463722772951
"971","BOS",2019,NA,21379,15970,1011,979,88,25,5409,0.746994714439403
"972","BWI",2019,NA,14138,11959,657,682,34,13,2179,0.845876361578724
"973","CLT",2019,NA,38965,32625,697,807,118,44,6340,0.837289875529321
"974","CVG",2019,NA,7360,5711,221,225,10,8,1649,0.775951086956522
"975","DCA",2019,NA,21909,17313,1141,1157,60,57,4596,0.790223195946871
"976","DEN",2019,NA,40314,32038,680,780,147,57,8276,0.794711514610309
"977","DFW",2019,NA,43462,33711,670,755,152,84,9751,0.775643090515853
"978","DTW",2019,NA,25308,20778,757,741,83,74,4530,0.821005215742058
"979","EWR",2019,NA,23090,15816,758,795,105,57,7274,0.684971849285405
"980","FLL",2019,NA,16418,12767,199,202,35,28,3651,0.777622122061152
"981","HNL",2019,NA,8088,6699,30,35,19,15,1389,0.82826409495549
"982","IAD",2019,NA,12970,10645,422,448,36,21,2325,0.820740169622205
"983","IAH",2019,NA,27737,22622,269,335,89,55,5115,0.815589285070483
"984","JFK",2019,NA,19686,15702,464,476,97,37,3984,0.797622676013411
"985","LAS",2019,NA,25158,19646,545,547,42,33,5512,0.780904682407187
"986","LAX",2019,NA,37978,29516,687,760,149,83,8462,0.777186792353468
"987","LGA",2019,NA,25690,17859,1097,1103,59,47,7831,0.695173219151421
"988","MCO",2019,NA,22605,18052,367,378,45,21,4553,0.798584383985844
"989","MDW",2019,NA,10745,8649,1335,1333,19,60,2096,0.804932526756631
"990","MEM",2019,NA,4057,3145,106,102,7,4,912,0.775203352230712
"991","MIA",2019,NA,14954,12273,103,117,46,25,2681,0.820716865052829
"992","MSP",2019,NA,22820,18243,551,565,67,49,4577,0.79943032427695
"993","OAK",2019,NA,7861,6391,214,226,12,13,1470,0.81300089047195
"994","ORD",2019,NA,54112,38614,5139,5318,168,111,15498,0.713594027202839
"995","PDX",2019,NA,12626,10279,267,299,18,17,2347,0.814113733565658
"996","PHL",2019,NA,22126,18558,737,767,59,12,3568,0.83874175178523
"997","PHX",2019,NA,28235,22876,458,508,78,28,5359,0.810200106251107
"998","SAN",2019,NA,14600,11592,321,300,29,50,3008,0.793972602739726
"999","SEA",2019,NA,27334,21308,1049,1067,102,111,6026,0.779541962391161
"1000","SFO",2019,NA,25595,17452,1279,1258,83,179,8143,0.681851924203946
"1001","SLC",2019,NA,18726,15279,111,194,145,13,3447,0.815924383210509
"1002","STL",2019,NA,10900,8590,536,516,25,20,2310,0.788073394495413
"1003","TPA",2019,NA,12536,10125,198,203,20,11,2411,0.807673899170389
