Facility,Date,Actual_Departures,Actual_Arrivals,Departure_Cancellations,Arrival_Cancellations,Departure_Diversions,Actual_Diversions,On_Time_Arrivals,Perc_On_Time_Gate_Deps,Perc_On_Time_Gate_Arrs,Avg_Gate_Departure,Avg_Gate_Arrival,Avg_Block_Delay,Avg_Taxi_Out_Time,Avg_Taxi_In_Time,Delayed_Arrivals,Avg_Delay_per_Delayed
ATL,11-Apr,31892,31828,536,623,91,98,25134,77.49,78.97,14.04,13.42,4.36,21.1,10.32,6694,57.69
ATL,11-May,33601,33612,353,411,81,54,27774,80.76,82.63,12.56,12.29,3.23,21.13,11.06,5838,63.96
ATL,11-Jun,33385,33194,644,728,110,212,25002,72.67,75.32,19.01,18.11,5.11,22.26,11.38,8192,68.35
ATL,11-Jul,34495,34414,463,546,88,92,26368,74.78,76.62,17.21,16.96,4.2,21.99,11.07,8046,66.97
ATL,11-Aug,34187,34033,515,616,88,132,28328,81.41,83.24,11.46,11.43,3.41,21.24,11.18,5705,61.35
ATL,11-Sep,31534,31549,109,156,80,24,27136,86.97,86.01,7.71,9.21,3.48,19.82,10.81,4413,57.16
ATL,11-Oct,33173,33182,72,105,52,11,29120,87.8,87.76,6.85,7.57,3.22,20.1,11.22,4062,52.12
ATL,11-Nov,31222,31207,60,87,41,28,27250,87.2,87.32,7.12,7.59,2.95,20.04,10.9,3957,50.83
ATL,11-Dec,31021,31053,94,131,61,23,26770,86.55,86.21,8.12,9.49,3.19,19,10.43,4283,61.07
ATL,12-Jan,31119,31031,203,242,68,78,26393,86.77,85.05,7.84,10.06,4.13,19.61,10.18,4638,59.94
ATL,12-Feb,29645,29613,103,126,52,18,26104,88.09,88.15,6.77,7.75,2.93,18.32,10.17,3509,56.42
ATL,12-Mar,33509,33458,112,185,70,26,28127,82.76,84.07,9.88,10.14,3.28,19.26,10.17,5331,55.77
ATL,12-Apr,32516,32536,64,95,48,22,29412,89.77,90.4,5.62,6.29,2.29,18.58,9.69,3124,55.28
ATL,12-May,33718,33702,89,116,78,64,28962,84.41,85.94,8.88,8.92,3.1,20.05,10.54,4740,55.69
ATL,12-Jun,33994,33916,152,197,87,114,28923,82.89,85.28,10.33,9.96,3.24,18.9,10.58,4993,59.77
ATL,12-Jul,34483,34357,315,386,103,172,26892,75.34,78.27,16.71,15.95,4.78,21.37,10.05,7465,68.14
ATL,12-Aug,34225,34183,407,463,74,78,27993,80.17,81.89,12.3,12.94,3.84,19.61,10.15,6190,64.67
ATL,12-Sep,31434,31461,87,117,56,15,27681,87.87,87.99,6.97,8.1,2.55,18.59,9.5,3780,59.07
ATL,12-Oct,32592,32588,456,485,56,29,27736,84.5,85.11,8.31,9.05,2.99,18.23,9.59,4852,53.11
ATL,12-Nov,30940,30925,78,119,40,17,28002,89.43,90.55,5.82,6.33,2.18,17.73,9.31,2923,55.75
ATL,12-Dec,30783,30746,193,251,66,22,25921,82.48,84.31,9.72,10.17,2.98,17.89,9.01,4825,57.65
ATL,13-Jan,31984,31954,301,370,77,31,27482,86.42,86,8.28,9.64,3.63,18.46,8.98,4472,60.68
ATL,13-Feb,29088,29074,309,354,56,19,24729,84.73,85.06,8.39,9.31,3.38,18.16,8.68,4345,54.34
ATL,13-Mar,34244,34152,385,439,62,91,28673,81.25,83.96,11.7,11.08,3.83,18.08,8.54,5479,61.63
ATL,13-Apr,33383,33406,190,228,61,20,28022,81.68,83.88,10.22,10.55,3.33,17.66,9.02,5384,58.54
ATL,13-May,34171,34233,145,161,93,18,28753,81.98,83.99,10.33,10.56,3.24,18.3,8.8,5480,58.56
ATL,13-Jun,33877,33788,459,537,109,111,24314,68.6,71.96,21.29,21.07,5.17,20.97,9.32,9474,70.34
ATL,13-Jul,34992,34801,464,515,99,225,23974,66.72,68.89,23.18,23.22,6.68,20.1,9.7,10827,70.01
ATL,13-Aug,34855,34874,164,213,80,52,27889,78.11,79.97,12.14,12.49,4.18,18.72,9.12,6985,55.33
ATL,13-Sep,31935,31921,67,98,57,27,27981,86.72,87.66,7.21,7.88,3.04,17.3,9.23,3940,53.83
ATL,13-Oct,33712,33701,55,79,49,30,30033,86.95,89.12,6.83,6.95,2.65,17.76,9.07,3668,53.13
ATL,13-Nov,31357,31350,69,102,42,14,26636,83.23,84.96,8.63,9.29,3.4,17.14,9.17,4714,53.47
ATL,13-Dec,31494,31523,308,354,85,17,23999,73.79,76.13,14.2,14.76,4.6,17.52,9.25,7524,55.22
ATL,14-Jan,28298,28202,2418,2532,80,50,20674,69.29,73.31,20.61,20.62,4.67,17.55,9.55,7528,72.64
ATL,14-Feb,25694,25644,2230,2319,70,19,20760,77.29,80.95,12.56,12.68,3.35,17.37,8.99,4884,59.96
ATL,14-Mar,32366,32346,270,341,58,15,26345,78.39,81.45,11.61,11.88,3.51,16.97,9.11,6001,56.5
ATL,14-Apr,30919,30953,114,143,68,21,25713,80.58,83.07,10.31,10.52,3.2,17.41,9.19,5240,54.99
ATL,14-May,31586,31601,135,172,78,26,26466,80.93,83.75,10.48,10.99,2.93,18.41,9.01,5135,60.34
ATL,14-Jun,30705,30647,129,160,100,138,24421,75.78,79.68,13.9,13.55,3.72,18.72,9.11,6226,61.27
ATL,14-Jul,31604,31558,140,146,64,94,26873,81.41,85.15,11.09,10.32,2.79,17.63,9.19,4685,62.74
ATL,14-Aug,31245,31166,253,287,71,155,26222,81.15,84.14,12.34,12.25,3.76,18.03,9.55,4944,71.45
ATL,14-Sep,30050,29990,108,136,38,72,24189,81.68,80.66,10.05,11.74,4.38,18.59,10.11,5801,53.86
ATL,14-Oct,31508,31508,63,84,47,21,26746,83.92,84.89,8.96,9.57,2.89,18.93,9.2,4762,56.26
ATL,14-Nov,29242,29232,34,47,43,17,25812,87.11,88.3,6.64,7.29,2.37,16.27,8.36,3420,53.87
ATL,14-Dec,29804,29857,83,116,64,27,26087,84.25,87.37,8.61,8.1,2.26,16.67,8.68,3770,56.36
ATL,15-Jan,29197,29172,263,287,52,33,24841,83.9,85.15,9.26,9.9,2.87,17.07,8.7,4331,59.9
ATL,15-Feb,26359,26343,932,1004,75,19,21681,80.03,82.3,11.62,13.12,2.61,17.13,8.55,4662,68.27
ATL,15-Mar,32405,32454,269,298,80,23,27273,81.86,84.04,10.02,10.55,2.77,17.22,8.94,5181,58.5
ATL,15-Apr,31198,31194,102,113,70,76,26838,84.03,86.04,9.3,9.43,3.05,17.27,8.71,4356,59.5
ATL,15-May,32160,32130,148,154,90,141,27684,82.83,86.16,11.66,11.1,3.04,16.92,8.89,4446,74.42
ATL,15-Jun,32337,32244,287,298,111,197,26213,76.91,81.3,15.93,14.3,3.6,19.09,9.01,6031,71.27
ATL,15-Jul,33584,33435,87,80,64,220,28177,79.37,84.27,12.69,10.95,3.24,18.97,8.58,5258,64.02
ATL,15-Aug,33543,33458,98,117,66,150,28313,80.77,84.62,12,10.8,3.09,18.07,8.86,5145,64.65
ATL,15-Sep,31263,31222,38,29,32,80,28088,88.25,89.96,6.93,6.85,2.39,16.83,9.22,3134,60.31
ATL,15-Oct,32509,32546,31,37,48,11,29448,88.7,90.48,6.24,6.63,1.89,16.52,9.17,3098,59.98
ATL,15-Nov,30788,30819,62,58,57,26,26759,85.96,86.83,7.89,8.6,2.63,16.45,8.87,4060,57.19
ATL,15-Dec,30672,30605,271,277,76,148,25131,79.83,82.11,14.29,15.22,3.51,16.62,8.67,5474,79.56
ATL,16-Jan,29413,29408,414,429,43,17,25424,84.54,86.45,9.32,9.84,2.18,16.97,8.19,3984,65.88
ATL,16-Feb,28490,28491,162,193,94,56,24467,83.46,85.88,10.11,10.4,2.54,17.01,8.2,4024,67.75
ATL,16-Mar,32755,32682,78,94,61,110,29163,85.61,89.23,8.84,8.06,2.28,16.58,7.95,3519,67.68
ATL,16-Apr,32062,32090,66,64,57,34,28910,87.3,90.09,7.42,7.29,1.79,16.64,8.1,3180,66.09
ATL,16-May,33287,33327,19,30,81,24,29202,84.73,87.62,8.47,8.57,2.01,17.22,7.99,4125,61.82
ATL,16-Jun,33063,32985,126,124,90,159,27435,78.49,83.17,14.9,13.3,3.12,18.29,8.15,5550,74.51
ATL,16-Jul,33586,33501,242,245,113,194,26908,75.19,80.32,19.04,17.19,3.24,19.2,8.08,6593,83.9
ATL,16-Aug,33354,33387,729,740,83,39,27549,78.63,82.51,17.66,18.19,2.35,16.97,8.79,5838,99.97
ATL,16-Sep,31440,31416,19,19,44,47,28503,88.03,90.73,7.23,6.92,1.47,15.97,8.27,2913,67.9
ATL,16-Oct,32476,32487,251,253,42,10,30300,90.85,93.27,5.3,5.22,0.85,15.73,8.14,2187,69.82
ATL,16-Nov,30907,30915,12,15,46,24,28199,89.19,91.21,6.2,6.46,1.47,16.06,8.09,2716,66.12
ATL,16-Dec,30470,30477,128,144,72,22,25499,80.78,83.67,11.89,11.83,2.42,16.4,8.4,4978,66.24
ATL,17-Jan,29417,29341,643,676,78,118,24461,79.2,83.37,17.42,15.54,3.53,17.21,8.83,4880,89.07
ATL,17-Feb,27471,27468,93,109,59,17,25070,88.75,91.27,6.81,6.51,0,16.11,7.87,2398,67.65
ATL,17-Mar,32208,32180,188,195,61,55,28468,85.39,88.46,9.16,8.75,2.06,16.23,7.81,3712,69.28
ATL,17-Apr,29641,29491,1430,1480,51,160,23925,76.38,81.13,22.97,22.09,0,16.75,8.78,5566,112.84
ATL,17-May,32019,32027,67,66,71,58,26718,78.79,83.42,12.86,11.64,2.88,17.5,8.11,5309,63.98
ATL,17-Jun,31851,31822,137,129,62,86,25687,75,80.72,16.85,15.07,3.43,19.63,9.17,6135,72.65
ATL,17-Jul,32037,31979,71,79,78,131,25741,75.25,80.49,16.1,13.92,3.73,20.33,8.94,6238,66.32
ATL,17-Aug,31631,31676,184,201,84,24,27388,82.25,86.46,10.25,9.1,2.4,17.59,8.91,4288,60.34
ATL,17-Sep,27516,27490,1082,1077,43,76,24817,87.61,90.28,7.8,7.39,2.6,16.88,8.4,2673,67.59
ATL,17-Oct,29786,29802,23,28,33,14,26372,85.93,88.49,8.35,8.22,2.06,15.59,8.25,3430,62.18
ATL,17-Nov,28195,28227,12,9,36,12,26507,91.73,93.91,4.7,4.23,1.09,15.25,8.13,1720,59.05
ATL,17-Dec,26765,26760,1489,1452,43,81,22717,80.87,84.89,12.35,13.62,3.87,16.92,9.47,4043,84.36
ATL,18-Jan,29812,29833,864,895,64,15,24984,80.25,83.75,14.06,14.58,2.47,16.35,8.82,4849,85
ATL,18-Feb,27994,27987,125,136,71,67,24403,85.52,87.19,9.35,10.26,2.68,16.01,8.6,3584,74.04
ATL,18-Mar,33408,33410,290,313,62,21,29291,84.74,87.67,8.51,8.13,2.51,16.46,8.21,4119,57.82
ATL,18-Apr,32617,32665,92,97,74,29,28497,85.08,87.24,8.64,8.91,2.52,16.21,8.28,4168,62.79
ATL,18-May,33764,33787,90,91,75,49,28259,80.85,83.64,11.56,11.13,3.45,17.4,8.98,5528,61.13
ATL,18-Jun,33654,33535,225,217,112,245,26311,74.45,78.46,20.74,19.38,4.9,19.49,9.09,7224,85.78
ATL,18-Jul,34573,34547,214,186,102,144,28331,77.64,82.01,15.67,14.45,3.97,18.15,8.99,6216,75.36
ATL,18-Aug,34961,34958,179,207,87,74,29286,80.31,83.77,13.67,12.72,3.14,17.97,9,5672,73.26
ATL,18-Sep,31329,31336,187,186,67,57,27240,86.24,86.93,8.29,8.71,2.8,16.35,8.71,4096,59.97
ATL,18-Oct,33067,33128,98,99,62,14,29288,88.23,88.41,7.24,7.58,2.56,15.79,8.51,3840,56.51
ATL,18-Nov,31158,31217,89,84,67,22,24411,78.48,78.2,12.18,13.6,4.74,16.7,8.77,6806,56.55
ATL,18-Dec,31277,31358,116,120,83,17,26854,83.66,85.64,10.13,9.93,2.51,16.72,8.77,4504,62.45
ATL,19-Jan,30832,30845,318,337,59,22,26895,86.58,87.19,8.25,8.97,2.68,17.12,8.36,3950,63.52
ATL,19-Feb,27997,27966,187,218,75,67,23004,80.31,82.26,13.85,13.4,3.93,16.72,8.96,4962,70.34
Sub-Total for ATL,,6169557,6152291,87590,96784,13487,13361,4934333,79.56,80.2,12.43,13.2,4.03,19.35,10.2,1217958,60.54
BOS,3-Jun,9500,9498,127,138,12,3,7875,86.69,82.91,7.43,9.44,3.67,16.78,7.21,1623,47.55
BOS,3-Jul,9735,9743,222,226,13,3,8033,86.08,82.45,8.73,11.12,3.65,17.97,7.13,1710,56.83
BOS,3-Aug,9628,9626,278,292,23,15,7370,81.47,76.56,12.16,14.67,5.51,19.27,7.67,2256,56.51
BOS,3-Sep,9263,9258,253,257,11,13,7860,88.82,84.9,6.43,8.55,4.11,16.77,7.6,1398,48.83
BOS,3-Oct,9836,9827,111,124,12,9,8543,90.35,86.93,5.77,6.77,3.14,17.27,6.97,1284,41.69
BOS,3-Nov,9066,9088,162,156,19,6,7920,88.99,87.15,6.88,7.2,2.76,17.27,7,1168,46.84
BOS,3-Dec,8770,8755,820,820,11,29,6539,77.47,74.69,14.83,15.64,5.71,19.8,7.93,2216,55.77
BOS,4-Jan,9654,9662,462,468,13,3,7783,82.18,80.55,10.53,11.1,3.6,19.49,8,1879,50.59
BOS,4-Feb,9731,9726,152,164,11,6,8217,87.66,84.48,7.51,8.53,3.42,17.49,7.18,1509,46.54
BOS,4-Mar,10623,10653,253,263,18,5,8679,86.04,81.47,8.52,10.22,4.97,17.99,7.72,1974,47.16
BOS,4-Apr,10704,10706,99,106,9,3,9002,87.24,84.08,7.2,8.82,3.88,16.92,7.24,1704,46.3
BOS,4-May,10741,10751,225,225,19,9,8262,83.4,76.85,10.49,14.22,6.28,19.2,7.48,2489,55.6
BOS,4-Jun,10991,11018,253,241,37,17,8527,82.96,77.39,10.97,14.02,5.01,20.01,7.74,2491,56.64
BOS,4-Jul,11528,11543,382,378,33,15,8429,78.78,73.02,14.95,17.92,6.5,21.26,10.1,3114,61.11
BOS,4-Aug,11703,11720,325,320,23,13,9145,82.6,78.03,11.81,14.28,4.54,21.17,7.94,2575,59.13
BOS,4-Sep,10663,10695,366,357,30,5,9185,88.6,85.88,6.59,7.98,3.4,18.61,7.46,1510,47.17
BOS,4-Oct,11386,11392,157,151,15,15,9481,87.73,83.23,6.72,8.65,4.2,18.81,8.38,1911,41.61
BOS,4-Nov,10550,10558,171,182,20,7,8593,86.18,81.39,8.75,11.19,4.27,18.55,7.93,1965,52.13
BOS,4-Dec,10464,10472,487,488,41,29,7822,77.65,74.69,15.72,16.28,4.96,20.62,9.22,2650,58.75
BOS,5-Jan,9632,9689,1161,1128,55,32,6742,75.55,69.58,15.56,18.76,7.59,21.52,8.77,2947,56.38
BOS,5-Feb,9725,9678,266,319,15,12,7597,83.01,78.5,9.57,11.76,4.63,18.76,7.39,2081,48.2
BOS,5-Mar,10737,10773,479,434,20,29,8000,79.89,74.26,12.27,14.65,4.51,18.89,7.62,2773,51.16
BOS,5-Apr,10792,10797,178,182,14,7,8949,87.06,82.88,7.64,9.88,3.83,16.76,7.45,1848,48.7
BOS,5-May,10997,11010,123,120,16,4,8789,86.23,79.83,7.93,12.28,5.69,16.69,7.62,2221,53.87
BOS,5-Jun,10343,10364,326,323,25,4,7701,80.33,74.31,13.84,17.18,5.28,19.28,7.63,2663,61.52
BOS,5-Jul,10539,10567,335,330,31,7,7298,76.06,69.06,16.92,20.83,6.46,20.37,7.56,3269,62.91
BOS,5-Aug,10649,10650,322,316,29,24,7571,79.2,71.09,14.46,19.82,6.69,19.93,7.48,3079,63.97
BOS,5-Sep,10020,10037,162,154,9,4,7546,83.21,75.18,11.14,16,6.72,20.09,7.23,2491,59.32
BOS,5-Oct,10018,10015,372,367,11,16,7171,80.56,71.6,13.19,18.62,7.04,18.96,7.24,2844,60.29
BOS,5-Nov,10063,10074,135,127,25,22,7839,84.04,77.81,8.79,11.92,4.5,18.52,7.04,2235,47.73
BOS,5-Dec,10026,9999,340,355,16,24,7579,79.34,75.8,13.12,15.31,4.13,19.78,6.95,2420,57.52
BOS,6-Jan,10092,10110,382,375,33,31,7679,81.24,75.95,12.67,15.36,4.77,19.9,6.98,2431,58.49
BOS,6-Feb,9345,9414,506,501,67,6,7259,81.9,77.11,11.24,13.38,4.01,18.82,6.68,2155,53.36
BOS,6-Mar,11016,11059,131,126,39,5,8970,86.08,81.11,7.93,9.96,3.66,17.87,6.77,2089,45.31
BOS,6-Apr,10795,10811,135,136,25,4,8415,83.45,77.84,9.51,12.21,4.87,17,6.98,2396,48.5
BOS,6-May,10672,10693,223,210,25,21,6994,75.78,65.41,16.19,23,8.63,17.23,7.09,3699,62.25
BOS,6-Jun,10348,10360,363,367,37,19,6397,70.02,61.75,22.2,28.22,9.38,20.03,7.32,3963,70.1
BOS,6-Jul,10796,10817,346,328,23,27,7654,75.92,70.76,18.4,21.88,6.62,20.15,7.38,3163,70.09
BOS,6-Aug,11173,11201,287,263,24,4,8388,78.17,74.89,13.78,16.06,5.17,19.06,7.93,2813,59.1
BOS,6-Sep,10419,10431,239,245,21,6,7924,81.8,75.97,12.03,15.4,4.76,19.09,7.73,2507,59.14
BOS,6-Oct,11189,11176,211,217,24,5,8161,79.66,73.02,12.45,16.21,4.74,19.99,7.02,3015,55.37
BOS,6-Nov,10733,10753,256,252,25,7,7781,78.84,72.36,13.09,16.42,5.53,19.47,7.29,2972,54.34
BOS,6-Dec,10736,10761,280,282,34,7,8429,80.63,78.33,12.13,13.14,3.02,18.96,6.7,2332,55.21
BOS,7-Jan,11154,11184,272,268,32,6,8809,82.89,78.76,9.73,11.79,3.43,19.56,6.65,2375,50.05
BOS,7-Feb,9716,9720,838,844,28,10,6778,73.66,69.73,18.16,19.5,4.54,20.45,7.44,2942,60.3
BOS,7-Mar,11438,11445,581,558,11,23,7800,73.33,68.15,16.94,18.81,5.49,19.5,7.14,3645,54.11
BOS,7-Apr,11091,11110,296,285,21,9,7487,74.3,67.39,16.63,20.62,5.86,19.05,7.43,3623,58.84
BOS,7-May,10682,10701,183,167,14,5,7877,81.61,73.61,10.98,15.21,5.56,20.14,7.49,2824,52.19
BOS,7-Jun,10154,10186,384,373,29,12,6276,71.03,61.61,20.85,25.38,7.76,22.55,8.01,3910,62.4
BOS,7-Jul,10318,10316,365,361,33,34,6785,73.69,65.77,20.12,24.24,7.16,22,8.03,3531,66.96
BOS,7-Aug,10533,10552,263,256,31,26,7659,76.57,72.58,15.78,17.65,4.6,21.35,8.11,2893,59.5
BOS,7-Sep,9772,9783,120,100,9,14,8026,87.54,82.04,7.72,10.65,3.83,19.6,7.37,1757,53.14
BOS,7-Oct,10217,10218,149,140,12,15,7844,82.52,76.77,11.71,14.38,4.95,20.35,7.7,2374,56.95
BOS,7-Nov,9695,9727,177,168,22,4,7848,84.76,80.68,9.91,11.24,3.21,19.83,7.26,1879,52.18
BOS,7-Dec,9008,8997,751,737,26,34,6284,73.32,69.85,19.87,19.72,5.26,23.85,8.32,2713,61.4
BOS,8-Jan,9310,9328,392,389,15,9,7445,84.16,79.81,9.88,12.32,3.71,19.95,6.73,1883,55.45
BOS,8-Feb,8926,8941,473,475,27,14,6471,79.63,72.37,13.45,16.54,4.81,21.97,7.1,2470,55.69
BOS,8-Mar,10070,10111,283,279,42,11,7553,80.35,74.7,12.93,15.68,4.21,20.21,6.89,2558,57.12
BOS,8-Apr,10270,10318,261,255,35,5,7942,83.95,76.97,10.63,14.76,4.63,19.48,7.36,2376,58.42
BOS,8-May,10102,10112,162,156,17,8,8198,86.31,81.07,9.27,12.13,3.49,19.5,7.2,1914,57.85
BOS,8-Jun,9858,9893,377,367,45,28,6627,76.85,66.99,17.33,23.4,6.25,21.79,7.32,3266,67.34
BOS,8-Jul,10124,10150,434,420,35,21,7145,76.94,70.39,18.21,22.52,5.82,21.75,7.58,3005,72.41
BOS,8-Aug,9990,9985,348,349,24,23,7109,77.87,71.2,17.69,21.06,6.18,19.87,7.9,2876,69.17
BOS,8-Sep,8908,8921,163,160,14,8,7270,87.02,81.49,8.29,10.92,4.61,18.49,7.36,1651,52.17
BOS,8-Oct,9331,9344,89,84,16,5,8114,90.62,86.84,5.83,7.38,3.13,18.35,6.79,1230,47.35
BOS,8-Nov,8552,8563,146,149,16,6,6699,85.84,78.23,9.66,14.46,5.03,18.87,6.59,1864,61.33
BOS,8-Dec,8465,8494,527,518,68,45,5953,76.5,70.08,19.06,21.6,6.63,22.9,7.44,2541,68.15
BOS,9-Jan,8485,8508,468,466,25,11,6592,83.46,77.48,10.39,13.22,4.3,22.69,7.03,1916,53.74
BOS,9-Feb,8242,8249,185,179,8,5,6967,88.36,84.46,7.35,9.02,3.57,19.88,6.51,1282,51.07
BOS,9-Mar,9143,9164,401,396,22,3,7326,85.66,79.94,9.36,12.06,4.14,19.61,6.96,1838,54.05
BOS,9-Apr,9354,9373,227,229,31,4,7462,85.33,79.61,9.73,12.75,3.85,19.2,6.89,1911,57.03
BOS,9-May,9129,9141,169,164,16,5,7321,85.92,80.09,9.29,12.59,3.87,18.98,7.14,1820,58.11
BOS,9-Jun,9176,9183,283,294,42,28,5805,75.23,63.21,18.55,26.85,9.05,20.5,7.58,3378,69.9
BOS,9-Jul,9533,9571,337,326,33,13,6761,77.94,70.64,17.52,22.97,6.61,21.12,7.5,2810,74.79
BOS,9-Aug,9485,9490,193,187,16,24,7346,81.83,77.41,13.64,15.06,4.77,19.76,7.52,2144,61.77
BOS,9-Sep,8830,8841,78,70,12,9,7469,89.99,84.48,5.99,8.44,4.16,17.95,7.03,1372,47.09
BOS,9-Oct,9065,9107,111,105,44,8,7564,87.27,83.06,7.82,10.51,3.2,18.63,6.88,1543,56.54
BOS,9-Nov,8784,8796,82,77,12,4,7484,89.21,85.08,6.14,7.84,3.34,17.47,6.71,1312,45.3
BOS,9-Dec,8359,8376,357,345,23,12,6577,81.91,78.52,11.64,13.03,3.07,20.02,6.42,1799,56.32
BOS,10-Jan,8616,8624,276,279,12,9,6635,82.54,76.94,11.56,14.64,4.6,21.25,6.48,1989,58.49
BOS,10-Feb,7596,7610,799,785,18,23,5692,82.04,74.8,12.17,16.76,6.53,19.4,6.49,1918,61.43
BOS,10-Mar,9369,9363,249,242,19,32,6643,79.35,70.95,13.03,17.47,7.15,18.53,6.97,2720,55.08
BOS,10-Apr,9291,9298,62,58,17,7,7986,87.77,85.89,7.24,7.7,2.59,18.49,6.52,1312,47.17
BOS,10-May,9235,9250,101,102,28,8,7681,86.62,83.04,8.58,9.89,3.39,19.12,6.42,1569,51.53
BOS,10-Jun,9314,9340,159,157,30,5,7385,83.14,79.07,11.77,13.62,3.07,19.5,6.59,1955,60.7
BOS,10-Jul,9731,9760,227,222,37,10,7504,81.72,76.89,12.88,15.28,4.03,20.3,6.85,2256,61.47
BOS,10-Aug,9998,10015,148,138,30,20,7907,82.4,78.95,12.17,14.55,3.86,19.51,7.01,2108,64.51
BOS,10-Sep,9252,9267,140,144,24,6,7559,86.98,81.57,8.59,12.2,4.31,19.82,6.66,1708,60.21
BOS,10-Oct,9626,9622,125,131,12,9,7725,84.5,80.28,9.57,11.42,4.13,19.48,6.53,1897,51.12
BOS,10-Nov,9434,9457,98,99,28,2,7672,86.17,81.13,7.74,10.12,4.47,18.77,6.87,1785,45.98
BOS,10-Dec,8732,8745,687,678,20,6,6262,76.83,71.61,14.77,18.53,5.59,21.93,6.63,2483,60.09
BOS,11-Jan,8044,8085,923,904,25,11,6120,79.04,75.7,13.76,14.65,3.99,22.7,7.12,1965,55.43
BOS,11-Feb,7666,7694,645,654,43,7,6183,82.77,80.36,11.17,12.33,3.04,22.38,6.69,1511,56.85
BOS,11-Mar,9330,9332,156,153,15,16,7193,82.4,77.08,11.76,14.73,3.67,19.58,6.61,2139,59.42
BOS,11-Apr,9116,9134,201,207,36,10,6566,77.95,71.89,15.15,18.27,4.37,19.73,7.04,2568,60.88
BOS,11-May,9311,9331,206,198,22,13,5940,76.31,63.66,15.62,23.98,7.62,18.73,7.32,3391,62.14
BOS,11-Jun,9313,9311,218,226,20,15,6662,78.77,71.55,15.33,18.89,5.6,19.69,7.64,2649,61.76
BOS,11-Jul,9654,9680,212,208,31,8,7344,80.88,75.87,13.12,16.16,4.54,19.07,7.43,2336,61.87
BOS,11-Aug,9170,9194,694,698,43,17,6541,76.29,71.14,18.36,21.75,5.57,18.87,7.54,2653,71.14
BOS,11-Sep,8706,8702,132,135,18,8,6623,83.97,76.11,10.45,14.52,5.35,18.08,7.24,2079,55.56
BOS,11-Oct,8990,9000,91,99,22,1,7173,85.44,79.7,9.37,12.22,3.96,19.21,6.85,1827,54.8
BOS,11-Nov,8387,8412,80,79,33,5,7261,88.23,86.32,7.16,8.11,2.32,18.17,6.91,1151,51.68
BOS,11-Dec,8067,8072,63,72,12,2,7183,89.25,88.99,6.7,6.59,1.7,17.83,6.42,889,52.05
BOS,12-Jan,8095,8109,108,107,22,12,6855,88.25,84.54,7.27,8.51,2.82,19,6.59,1254,48.64
BOS,12-Feb,7951,7949,59,62,11,5,7092,91.49,89.22,5.33,6.06,1.62,18.52,6.41,857,49.37
BOS,12-Mar,8768,8793,76,72,20,4,7187,84.91,81.74,9.25,10.19,3.12,18.15,6.44,1606,48.76
BOS,12-Apr,8737,8753,43,39,10,1,7611,89.15,86.95,6.52,7.58,2.01,17.79,6.28,1142,50.73
BOS,12-May,8907,8929,55,54,30,4,7243,85.69,81.12,8.94,11.34,3.07,17.88,7.14,1686,54.5
BOS,12-Jun,8617,8621,122,118,16,12,6651,80.25,77.15,13.81,14.66,3.66,18.17,7.14,1970,59.31
BOS,12-Jul,8844,8861,83,89,24,10,6740,81.28,76.06,14.1,17.41,3.69,18.37,7.37,2121,68.14
BOS,12-Aug,9025,9036,91,98,23,6,7113,81.6,78.72,13.88,14.22,2.99,18.19,7.08,1923,62.28
BOS,12-Sep,8218,8218,64,69,12,6,6728,86.46,81.87,9.11,11.45,3.34,17.57,7.08,1490,58.04
BOS,12-Oct,8178,8178,615,624,11,7,6820,86.04,83.39,8.7,9.62,2.44,17.84,6.92,1358,51.4
BOS,12-Nov,8249,8253,88,90,15,2,7013,87.07,84.98,8.22,9.1,2.96,17.76,6.67,1240,52.47
BOS,12-Dec,7916,7913,94,101,21,10,6443,81.96,81.42,12.27,12,2.1,18.98,6.66,1470,59.39
BOS,13-Jan,8067,8074,83,81,15,13,6940,87.42,85.95,7.52,8.3,1.93,19.62,6.16,1134,52.99
BOS,13-Feb,7230,7215,470,479,12,20,5802,82.68,80.42,10.96,11.42,3.2,20.77,7.1,1413,52.92
BOS,13-Mar,8941,8965,234,218,14,12,6876,79.38,76.7,14.77,15.38,4.15,20.93,6.73,2089,60.9
BOS,13-Apr,9209,9220,89,92,19,6,7411,82.31,80.38,11.99,12.58,2.67,19,6.85,1809,59.17
BOS,13-May,9501,9513,60,58,22,9,7504,83.26,78.88,10.9,12.78,3.92,18.97,6.89,2009,54.97
BOS,13-Jun,9595,9615,121,118,29,17,6867,75.38,71.42,17.72,20.01,4.32,19.48,7.07,2748,66.33
BOS,13-Jul,10106,10121,149,150,33,20,7076,73.65,69.91,18.08,19.61,4.59,19.43,7.46,3045,61.09
BOS,13-Aug,10320,10328,53,55,23,9,8050,80.36,77.94,12.73,13.26,3.21,19.11,7.1,2278,54.97
BOS,13-Sep,9172,9208,78,73,43,9,7774,87.64,84.43,8.74,9.79,3.43,18.46,6.97,1434,55.13
BOS,13-Oct,9668,9665,29,31,6,6,8517,89.12,88.12,6.5,6.57,2.18,18.53,6.8,1148,47.07
BOS,13-Nov,9005,9011,58,55,17,9,7967,89.46,88.41,6.02,6.41,1.82,18.17,6.27,1044,47.4
BOS,13-Dec,8644,8649,216,223,42,18,6400,77.58,74,15.13,16.09,3.74,21.09,6.9,2249,57.51
