Facility,Date,Actual_Departures,Actual_Arrivals,Departure_Cancellations,Arrival_Cancellations,Departure_Diversions,Actual_Diversions,On_Time_Arrivals,Perc_On_Time_Gate_Deps,Perc_On_Time_Gate_Arrs,Avg_Gate_Departure,Avg_Gate_Arrival,Avg_Block_Delay,Avg_Taxi_Out_Time,Avg_Taxi_In_Time,Delayed_Arrivals,Avg_Delay_per_Delayed
PDX,13-Jan,3902,3897,54,52,5,11,3352,89.39,86.01,6.18,7.61,2.79,12.04,4.12,545,46.19
PDX,13-Feb,3541,3539,20,22,5,5,3080,90.77,87.03,6.13,7.03,2.26,11.24,3.87,459,46.43
PDX,13-Mar,4268,4271,14,15,5,1,3655,89.15,85.58,7.19,8.09,2.15,11.19,3.76,616,48.25
PDX,13-Apr,4088,4092,20,20,6,1,3314,86.08,80.99,7.99,10.26,3.5,12.3,4.08,778,45.43
PDX,13-May,4280,4286,18,17,9,7,3637,88.48,84.86,7.4,8.92,2.8,13.14,4.49,649,49.89
PDX,13-Jun,4661,4672,20,21,32,15,3665,84.7,78.45,11.3,14.26,3.14,12.34,4.03,1007,59.54
PDX,13-Jul,4971,4985,39,41,21,6,3987,86.06,79.98,9.51,12.7,2.49,12.13,3.84,998,57.21
PDX,13-Aug,4969,4986,14,13,8,1,4137,85.65,82.97,9.15,10.14,2.32,12.04,3.97,849,51.8
PDX,13-Sep,4606,4603,16,17,7,3,3860,86.95,83.86,8.26,9.37,3.08,12.06,4.07,743,49.08
PDX,13-Oct,4702,4708,29,28,9,4,4116,88.77,87.43,7.68,7.56,2.44,11.98,3.91,592,50.37
PDX,13-Nov,4571,4576,29,30,9,7,3937,89.11,86.04,7.31,7.87,2.66,12.15,3.99,639,47.61
PDX,13-Dec,4668,4661,49,54,9,11,3258,77.49,69.9,12.42,16.16,4.82,12.66,4.39,1403,47.82
PDX,14-Jan,4268,4264,96,100,11,8,3279,84.28,76.9,9.94,14.79,3.73,12.23,4.2,985,58.44
PDX,14-Feb,3757,3755,97,102,7,5,2721,79.96,72.46,12.81,15.66,5.48,13.7,4.48,1034,51.13
PDX,14-Mar,4624,4625,25,24,4,2,3773,87.22,81.58,8.07,9.96,2.94,12.06,4.03,852,46.53
PDX,14-Apr,4584,4593,19,19,10,3,3915,88.33,85.24,7.1,8.31,2.64,11.7,3.9,678,47.94
PDX,14-May,4770,4790,32,31,20,5,3978,87.3,83.05,7.6,10.02,2.61,12.12,3.99,812,52.27
PDX,14-Jun,4792,4794,23,21,10,5,3652,82.3,76.18,10.11,13.78,3.77,12.09,3.85,1142,51.37
PDX,14-Jul,5020,5035,21,18,16,0,4020,84.68,79.84,9.48,12.57,2.02,12.01,3.9,1015,56.6
PDX,14-Aug,5044,5053,23,23,10,6,4220,86.52,83.51,8.04,9.59,2.93,12.12,4.1,833,50.42
PDX,14-Sep,4155,4174,20,16,13,1,3551,88.38,85.07,7.33,9.16,2.85,12.43,4.35,623,51.63
PDX,14-Oct,4128,4136,10,7,5,2,3444,87.65,83.27,6.94,8.8,2.91,11.89,4.41,692,44.57
PDX,14-Nov,3803,3804,14,16,5,1,3030,85.88,79.65,8.43,10.95,3.66,12.53,4.32,774,46.06
PDX,14-Dec,3863,3853,24,27,12,16,2874,79.91,74.59,13.09,13.9,4.19,12.47,4.44,979,49.43
PDX,15-Jan,3612,3604,16,19,8,13,2972,86.16,82.46,8.9,10.5,2.85,12.15,4.51,632,53.64
PDX,15-Feb,3161,3164,24,29,7,1,2615,87.82,82.65,8.25,10.93,2.63,12.08,4.41,549,56.13
PDX,15-Mar,3883,3869,15,15,6,15,3316,86.53,85.71,8.9,8.31,2.45,12.43,4.27,553,51.04
PDX,15-Apr,3853,3857,18,17,5,1,3325,88.53,86.21,7.84,8.22,1.94,12.15,4.24,532,52.13
PDX,15-May,4131,4135,24,24,7,4,3575,88.36,86.46,7.5,8.21,1.27,12.41,4.15,560,54.6
PDX,15-Jun,4657,4684,32,25,18,2,3696,83.51,78.91,10.34,13.47,2.25,12.39,4.12,988,58.43
PDX,15-Jul,5088,5100,10,10,10,1,4129,83.88,80.96,9.68,11.1,1.92,12.61,4.18,971,52.2
PDX,15-Aug,5079,5089,14,12,12,2,4286,86.61,84.22,8.65,9.71,1.58,12.49,4.21,803,55.32
PDX,15-Sep,4457,4459,6,5,3,1,3995,91.41,89.59,5.85,6.25,1.59,12.21,4.18,464,51.63
PDX,15-Oct,4539,4547,6,3,5,3,4058,91.54,89.25,4.99,6.46,2.27,12.33,4.54,489,50.23
PDX,15-Nov,4374,4365,9,8,8,16,3813,88.73,87.35,7.93,7.66,2.55,12.64,4.5,552,53.25
PDX,15-Dec,4482,4470,44,42,12,23,3530,82.11,78.97,12.54,13.25,4.38,12.86,4.78,940,56.91
PDX,16-Jan,4093,4104,33,34,10,5,3580,87.61,87.23,8.33,8.08,1.8,13.33,4.84,524,56.77
PDX,16-Feb,3900,3901,18,18,11,4,3474,91.28,89.05,6.08,6.79,1.93,11.79,4.44,427,54.4
PDX,16-Mar,4570,4577,26,38,19,1,3868,87.88,84.51,8.05,9.12,2.91,12.53,4.49,709,50.43
PDX,16-Apr,4570,4569,18,22,7,1,4052,90.35,88.68,6.16,6.8,1.78,12.33,4.31,517,52.23
PDX,16-May,4933,4955,11,10,15,2,4334,89.05,87.47,6.88,7.85,1.58,12.47,4.2,621,54.67
PDX,16-Jun,5313,5327,30,20,18,9,4343,84.81,81.53,9.8,11.34,2.37,12.76,4.26,984,55.27
PDX,16-Jul,5638,5657,55,56,23,4,4626,85.1,81.77,9.44,11.9,2.7,12.7,4.32,1031,58.59
PDX,16-Aug,5621,5648,27,23,19,1,4738,85.87,83.89,9.76,10.25,2.39,13.12,4.49,910,56.14
PDX,16-Sep,4902,4905,3,3,8,1,4272,89.56,87.09,6.41,7.86,2.79,12.96,4.58,633,51.27
